id,name,name_bn,type,parent_id,code,description,order,is_active
34,Department of Environmental Science and Technology,পরিবেশবিজ্ঞান ও প্রযুক্তি বিভাগ,department,33,EST,Environmental Science and Technology Department,340,True
35,Department of Nutrition & Food Technology,পুষ্টি ও খাদ্য প্রযুক্তি বিভাগ,department,33,NFT,Nutrition and Food Technology Department,350,True
36,Department of Applied Statistics,ফলিত পরিসংখ্যান বিভাগ,department,33,AS,Applied Statistics Department,360,True
37,Department of Food Safety Management,খাদ্য নিরাপত্তা ব্যবস্থাপনা বিভাগ,department,33,FSM,Food Safety Management Department,370,True
38,Department of Clinical Nutrition & Dietetics,ক্লিনিক্যাল নিউট্রিশন ও ডায়েটেটিক্স বিভাগ,department,33,CND,Clinical Nutrition and Dietetics Department,380,True
39,Faculty of Agricultural Science & Technology,কৃষি বিজ্ঞান ও প্রযুক্তি অনুষদ,faculty,,FAST-AG,Faculty of Agricultural Science and Technology,390,True
40,Department of Agro Product Processing Technology,কৃষি পণ্য প্রক্রিয়াকরণ প্রযুক্তি বিভাগ,department,39,APPT,Agro Product Processing Technology Department,400,True
41,Department of Veterinary & Animal Sciences,পশুচিকিৎসা ও প্রাণিবিজ্ঞান বিভাগ,department,39,VAS,Veterinary and Animal Sciences Department,410,True
42,Department of Agricultural Engineering,কৃষি প্রকৌশল বিভাগ,department,39,AE,Agricultural Engineering Department,420,True
43,Department of Agricultural Economics & Marketing Policy,কৃষি অর্থনীতি ও বিপণন নীতি বিভাগ,department,39,AEMP,Agricultural Economics and Marketing Policy Department,430,True
44,Department of Crop Science,ফসল বিজ্ঞান বিভাগ,department,39,CS,Crop Science Department,440,True
45,Faculty of Business Studies,ব্যবসায় শিক্ষা অনুষদ,faculty,,FBS,Faculty of Business Studies,450,True
46,Department of Accounting & Information System,হিসাববিজ্ঞান ও তথ্য ব্যবস্থা বিভাগ,department,45,AIS,Accounting and Information System Department,460,True
47,Department of Management,ব্যবস্থাপনা বিভাগ,department,45,MGT,Management Department,470,True
48,Department of Finance & Banking,অর্থ ও ব্যাংকিং বিভাগ,department,45,FB,Finance and Banking Department,480,True
49,Department of Marketing,বিপণন বিভাগ,department,45,MKT,Marketing Department,490,True
50,Faculty of Arts & Social Science,কলা ও সমাজবিজ্ঞান অনুষদ,faculty,,FASS,Faculty of Arts and Social Science,500,True
51,Department of English,ইংরেজি বিভাগ,department,50,ENG,English Department,510,True
52,Department of Humanities,মানবিক বিভাগ,department,50,HUM,Humanities Department (Non Degree),520,True
53,Office of the Registrar,রেজিস্ট্রার অফিস,office,2,REG,Registrar's Office and Administrative Sections,530,True
54,Office of the Librarian,গ্রন্থাগারিক অফিস,office,2,LIB,Central Library,540,True
55,Office of the Controller of Examinations,পরীক্ষা নিয়ন্ত্রক অফিস,office,2,COE,Controller of Examinations Office,550,True
56,Office of the Chief Engineer,প্রধান প্রকৌশলী অফিস,office,2,CE,Chief Engineer's Office,560,True
57,Office of the Chief Medical Officer,প্রধান চিকিৎসা কর্মকর্তা অফিস,office,2,CMO,Chief Medical Officer and Medical Center,570,True
58,Office of the Director (Account),পরিচালক (হিসাব) অফিস,office,2,DA,Director of Accounts Office,580,True
59,Office of the Director (Planning Development & Works),পরিচালক (পরিকল্পনা উন্নয়ন ও কার্য) অফিস,office,2,PDW,Planning Development and Works Office,590,True
60,Office of the Director (Physical Education),পরিচালক (শারীরিক শিক্ষা) অফিস,office,2,DPE,Director of Physical Education Office,600,True
61,Proctors Office,প্রক্টর অফিস,office,2,PROC,Proctor's Office,610,True
62,Office of the Transport Administrator,পরিবহন প্রশাসক অফিস,office,2,TRANS,Transport Administration Office,620,True
63,Audit Cell,নিরীক্ষা সেল,office,2,AUDIT,Internal Audit Cell,630,True
64,International Service Centre,আন্তর্জাতিক সেবা কেন্দ্র,office,3,ISC,International Service Centre,640,True
65,Technology Transfer Office,প্রযুক্তি স্থানান্তর অফিস,office,3,TTO,Technology Transfer Office,650,True
66,Guest House (Dhaka & Jashore),গেস্ট হাউস (ঢাকা ও যশোর),facility,2,GH,Guest Houses,660,True
67,Shaheed Mashiur Rahman Hall,শহীদ মশিউর রহমান হল,hall,,SMR-HALL,Male Residential Hall,670,True
68,Sheikh Hasina Chitree Hall,শেখ হাসিনা চিত্রী হল,hall,,SHC-HALL,Female Residential Hall,680,True
69,Munshi Mohammad Meherullah Hall,মুন্সী মোহাম্মদ মেহেরউল্লাহ হল,hall,,MMM-HALL,Male Residential Hall,690,True
70,Birprotik Taramon Bibi Hall,বীরপ্রতীক তারামন বিবি হল,hall,,BTB-HALL,Female Residential Hall,700,True
71,Dr. M.A. Wazed Miah Institute of Advance Studies,ড. এম.এ. ওয়াজেদ মিয়া উন্নত অধ্যয়ন ইনস্টিটিউট,institute,,MAWMIAS,Research Institute,710,True
72,Office of the Director of Institutional Quality Assurance Cell,প্রাতিষ্ঠানিক মান নিশ্চিতকরণ সেল পরিচালক অফিস,office,2,IQAC,Quality Assurance Cell,720,True
73,Center for Sophisticated Instrumentation & Research Lab,অত্যাধুনিক যন্ত্রপাতি ও গবেষণা ল্যাব কেন্দ্র,center,,CSIRL,Research Center,730,True
74,Center for Disability Rehabilitation & Research,প্রতিবন্ধী পুনর্বাসন ও গবেষণা কেন্দ্র,center,,CDRR,Research Center,740,True
75,Office of the Genome Center,জিনোম কেন্দ্র অফিস,center,,GC,Genome Research Center,750,True
76,Office of the Incubation Center,ইনকিউবেশন কেন্দ্র অফিস,center,,IC,Incubation Center,760,True
77,ICT Cell,আইসিটি সেল,office,2,ICT,Information and Communication Technology Cell,770,True
78,TSC,শিক্ষক-ছাত্র কেন্দ্র,facility,,TSC,Teacher Student Center,780,True
79,Day care Centre,ডে কেয়ার সেন্টার,facility,,DCC,Day Care Center,790,True
80,Institute of Entrepreneurship,উদ্যোক্তা ইনস্টিটিউট,institute,,IOE,Entrepreneurship Institute,800,True
81,Institute of Intellectual Property Rights and Technology Management,বুদ্ধিবৃত্তিক সম্পদ অধিকার ও প্রযুক্তি ব্যবস্থাপনা ইনস্টিটিউট,institute,,IIPRTM,IP Rights and Technology Management Institute,810,True
82,Horticulture research Institute,উদ্যানতত্ত্ব গবেষণা ইনস্টিটিউট,institute,,HRI,Horticulture Research Institute,820,True
83,Preventative medicine & Vaccine research Institute,প্রতিরোধক চিকিৎসা ও ভ্যাকসিন গবেষণা ইনস্টিটিউট,institute,,PMVRI,Preventative Medicine and Vaccine Research Institute,830,True
84,Bio-fuel & renewable energy research Institute,জৈব জ্বালানি ও নবায়নযোগ্য শক্তি গবেষণা ইনস্টিটিউট,institute,,BRERI,Bio-fuel and Renewable Energy Research Institute,840,True
85,Material Science research Institute,পদার্থ বিজ্ঞান গবেষণা ইনস্টিটিউট,institute,,MSRI,Material Science Research Institute,850,True
86,Brood Fish Management Fish Hatchery and Wet-lab,ব্রুড মাছ ব্যবস্থাপনা মাছের হ্যাচারি ও ওয়েট-ল্যাব,facility,,BFM,Fish Hatchery and Research Facility,860,True
87,Office of the Director of Students Counseling & Guidance,শিক্ষার্থী পরামর্শ ও নির্দেশনা পরিচালক অফিস,office,2,SCG,Student Counseling and Guidance Office,870,True
88,Sheikh Rasel Gymnasium,শেখ রাসেল জিমনেসিয়াম,facility,,SRG,Gymnasium Facility,880,True
89,Central Mosque (I),কেন্দ্রীয় মসজিদ (১),facility,,CM1,Main Central Mosque,890,True
90,Central Mosque (II),কেন্দ্রীয় মসজিদ (২),facility,,CM2,Secondary Central Mosque,900,True
91,Temple (Mandir),মন্দির,facility,,TEMPLE,Hindu Temple Facility,910,True
